dataset,experiment_block,model,apply_sortstats_at,branches,steepness,lr,batch_size,seed,best_val_f1,final_val_acc,final_val_recall,total_time_min,best_epoch,epochs_trained,n_params
santander,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.01,2048.0,42,0.715369,0.8788,0.755969,108.45,18.0,48.0,14481.0
diabetes,bloque1,sortstats_mlp,[2],both,5.0,0.001,2048.0,52,0.752129,0.752458,0.752455,0.89,30.0,60.0,1649.0
diabetes,bloque1,random_forest,N/A,N/A,,,,52,0.7380901345631299,0.7385953744960747,0.738592271813322,0.0161,,,
diabetes,bloque1,xgboost,N/A,N/A,,,,52,0.7499101531111878,0.750406676568357,0.7504035289247253,0.0057,,,
adult,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.0001,1024.0,62,0.780327,0.821067,0.819212,16.85,108.0,138.0,7889.0
santander,bloque2,sortstats_mlp,"[0, 1, 2]",sort_only,5.0,0.001,2048.0,62,0.71859,0.876725,0.768184,92.11,9.0,39.0,14257.0
santander,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,256.0,52,0.7241,0.8806,0.771112,89.44,5.0,35.0,14481.0
santander,bloque2,sortstats_mlp,"[0, 1, 2]",stats_only,5.0,0.001,2048.0,62,0.689129,0.842775,0.777264,2.27,60.0,90.0,7441.0
miniboone,bloque1,sortstats_mlp,"[1, 2]",both,5.0,0.001,1024.0,62,0.907772,0.925037,0.910468,8.73,87.0,117.0,3153.0
miniboone,bloque1,random_forest,N/A,N/A,,,,62,0.9235147403627129,0.9385307346326837,0.921517354062702,0.2564,,,
